"Source:","/home/wrusman/Documents/My Drawings/fluidnc-bob/fluidnc-bob.kicad_sch"
"Date:","Sun 12 Mar 2023 02:59:45 PM CET"
"Tool:","Eeschema 7.0.1-3b83917a11~171~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","43"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"1","2","C1, C2","100nF","fluidnc-bob-rescue:C-Device","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","","","","","",""
"2","1","D1","LED","fluidnc-bob-rescue:LED-Device","LED_THT:LED_D5.0mm","","","","","",""
"3","1","J1","X_Limit","fluidnc-bob-rescue:Screw_Terminal_01x02-Connector","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type073_RT02602HBLU_1x02_P5.08mm_Horizontal","","","","","",""
"4","1","J2","Y_Limit","fluidnc-bob-rescue:Screw_Terminal_01x02-Connector","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type073_RT02602HBLU_1x02_P5.08mm_Horizontal","","","","","",""
"5","1","J3","Hold","fluidnc-bob-rescue:Screw_Terminal_01x02-Connector","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type073_RT02602HBLU_1x02_P5.08mm_Horizontal","","","","","",""
"6","1","J4","Probe","fluidnc-bob-rescue:Screw_Terminal_01x02-Connector","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type073_RT02602HBLU_1x02_P5.08mm_Horizontal","","","","","",""
"7","1","J5","Door","fluidnc-bob-rescue:Screw_Terminal_01x02-Connector","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type073_RT02602HBLU_1x02_P5.08mm_Horizontal","","","","","",""
"8","1","J6","Z_Limit","fluidnc-bob-rescue:Screw_Terminal_01x02-Connector","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type073_RT02602HBLU_1x02_P5.08mm_Horizontal","","","","","",""
"9","1","J7","A_stepdir","fluidnc-bob-rescue:Screw_Terminal_01x02-Connector","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type073_RT02602HBLU_1x02_P5.08mm_Horizontal","","","","","",""
"10","1","J8","X_stepdir","fluidnc-bob-rescue:Screw_Terminal_01x02-Connector","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type073_RT02602HBLU_1x02_P5.08mm_Horizontal","","","","","",""
"11","1","J9","Y_stepdir","fluidnc-bob-rescue:Screw_Terminal_01x02-Connector","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type073_RT02602HBLU_1x02_P5.08mm_Horizontal","","","","","",""
"12","1","J10","Z_stepdir","fluidnc-bob-rescue:Screw_Terminal_01x02-Connector","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type073_RT02602HBLU_1x02_P5.08mm_Horizontal","","","","","",""
"13","1","J11","spindle_pwm_dir","fluidnc-bob-rescue:Screw_Terminal_01x02-Connector","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type073_RT02602HBLU_1x02_P5.08mm_Horizontal","","","","","",""
"14","1","J12","Flood_Mist","fluidnc-bob-rescue:Screw_Terminal_01x02-Connector","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type073_RT02602HBLU_1x02_P5.08mm_Horizontal","","","","","",""
"15","2","J13, J14","GND","fluidnc-bob-rescue:Screw_Terminal_01x02-Connector","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type073_RT02602HBLU_1x02_P5.08mm_Horizontal","","","","","",""
"16","2","J15, J16","+5v","fluidnc-bob-rescue:Screw_Terminal_01x02-Connector","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type073_RT02602HBLU_1x02_P5.08mm_Horizontal","","","","","",""
"17","6","R1, R2, R3, R4, R5, R6","220","fluidnc-bob-rescue:R-Device","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","","","","","",""
"18","6","R7, R8, R9, R10, R11, R12","10k","fluidnc-bob-rescue:R-Device","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","","","","","",""
"19","1","R13","330","fluidnc-bob-rescue:R-Device","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","","","","","",""
"20","1","U1","ESP32-DEVKIT-V1","ESP32-DEVKIT-V1:ESP32-DEVKIT-V1","MODULE_ESP32_DEVKIT_V1","","","DOIT","6.8 mm","N/A","Manufacturer Recommendations"
"21","6","U2, U3, U4, U5, U6, U7","PC817","fluidnc-bob-rescue:PC817-Isolator","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","","","","",""
"22","2","U8, U9","74HC245n","fluidnc-bob-rescue:74HC245-74xx","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74HC245","","","","",""
"23","2","WIRE1, WIRE2","0","fluidnc-bob-rescue:R-Device","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","","","","",""
